aua,sa,res_state_name
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
360000.0,360000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Telangana
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Karnataka
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
360000.0,360000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Maharashtra
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Telangana
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Tamil Nadu
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Karnataka
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Telangana
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Rajasthan
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
360000.0,360000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,West Bengal
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
